customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,False,False,True,False,1,False,False,False,True,False,False,False,False,True,29.85,29.85,False,False,False,False,False,False,True,False
5575-GNVDE,True,False,False,False,34,True,False,True,False,True,False,False,False,False,56.95,1889.5,False,False,False,True,False,False,False,True
3668-QPYBK,True,False,False,False,2,True,False,True,True,False,False,False,False,True,53.85,108.15,True,False,False,False,False,False,False,True
7795-CFOCW,True,False,False,False,45,False,False,True,False,True,True,False,False,False,42.3,1840.75,False,False,False,True,False,False,False,False
9237-HQITU,False,False,False,False,2,True,False,False,False,False,False,False,False,True,70.7,151.65,True,True,False,False,False,False,True,False
9305-CDSKC,False,False,False,False,8,True,True,False,False,True,False,True,True,True,99.65,820.5,True,True,False,False,False,False,True,False
1452-KIOVK,True,False,False,True,22,True,True,False,True,False,False,True,False,True,89.1,1949.4,False,True,False,False,False,True,False,False
6713-OKOMC,False,False,False,False,10,False,False,True,False,False,False,False,False,False,29.75,301.9,False,False,False,False,False,False,False,True
7892-POOKP,False,False,True,False,28,True,True,False,False,True,True,True,True,True,104.8,3046.05,True,True,False,False,False,False,True,False
6388-TABGU,True,False,False,True,62,True,False,True,True,False,False,False,False,False,56.15,3487.95,False,False,False,True,False,False,False,False
9763-GRSKD,True,False,True,True,13,True,False,True,False,False,False,False,False,True,49.95,587.45,False,False,False,False,False,False,False,True
7469-LKBCI,True,False,False,False,16,True,False,False,False,False,False,False,False,False,18.95,326.8,False,False,True,False,True,True,False,False
8091-TTVAX,True,False,True,False,58,True,True,False,False,True,False,True,True,False,100.35,5681.1,False,True,False,True,False,True,False,False
0280-XJGEX,True,False,False,False,49,True,True,False,True,True,False,True,True,True,103.7,5036.3,True,True,False,False,False,False,False,False
5129-JLPIS,True,False,False,False,25,True,False,True,False,True,True,True,True,True,105.5,2686.05,False,True,False,False,False,False,True,False
3655-SNQYZ,False,False,True,True,69,True,True,True,True,True,True,True,True,False,113.25,7895.15,False,True,False,False,True,True,False,False
8191-XWSZG,False,False,False,False,52,True,False,False,False,False,False,False,False,False,20.65,1022.95,False,False,True,True,False,False,False,True
9959-WOFKT,True,False,False,True,71,True,True,True,False,True,False,True,True,False,106.7,7382.25,False,True,False,False,True,False,False,False
4190-MFLUW,False,False,True,True,10,True,False,False,False,True,True,False,False,False,55.2,528.35,True,False,False,False,False,True,False,False
4183-MYFRB,False,False,False,False,21,True,False,False,True,True,False,False,True,True,90.05,1862.9,False,True,False,False,False,False,True,False
8779-QRDMV,True,True,False,False,1,False,False,False,False,True,False,False,True,True,39.65,39.65,True,False,False,False,False,False,True,False
1680-VDCWW,True,False,True,False,12,True,False,False,False,False,False,False,False,False,19.8,202.25,False,False,True,True,False,False,False,False
1066-JKSGK,True,False,False,False,1,True,False,False,False,False,False,False,False,False,20.15,20.15,True,False,True,False,False,False,False,True
3638-WEABW,False,False,True,False,58,True,True,False,True,False,True,False,False,True,59.9,3505.1,False,False,False,False,True,True,False,False
6322-HRPFA,True,False,True,True,49,True,False,True,True,False,True,False,False,False,59.6,2970.3,False,False,False,False,False,True,False,False
6865-JZNKO,False,False,False,False,30,True,False,True,True,False,False,False,False,True,55.3,1530.6,False,False,False,False,False,False,False,False
6467-CHFZW,True,False,True,True,47,True,True,False,True,False,False,True,True,True,99.35,4749.15,True,True,False,False,False,False,True,False
8665-UTDHZ,True,False,True,True,1,False,False,False,True,False,False,False,False,False,30.2,30.2,True,False,False,False,False,False,True,False
5248-YGIJN,True,False,True,False,72,True,True,True,True,True,True,True,True,True,90.25,6369.45,False,False,False,False,True,True,False,False
8773-HHUOZ,False,False,False,True,17,True,False,False,False,False,False,True,True,True,64.7,1093.1,True,False,False,False,False,False,False,True
3841-NFECX,False,True,True,False,71,True,True,True,True,True,True,False,False,True,96.35,6766.95,False,True,False,False,True,True,False,False
4929-XIHVW,True,True,True,False,2,True,False,False,False,True,False,True,True,True,95.5,181.65,False,True,False,False,False,True,False,False
6827-IEAUQ,False,False,True,True,27,True,False,True,True,True,True,False,False,False,66.15,1874.45,False,False,False,True,False,False,False,True
7310-EGVHZ,True,False,False,False,1,True,False,False,False,False,False,False,False,False,20.2,20.2,False,False,True,False,False,False,False,False
3413-BMNZE,True,True,False,False,1,True,False,False,False,False,False,False,False,False,45.25,45.25,False,False,False,False,False,False,False,False
6234-RAAPL,False,False,True,True,72,True,True,True,True,False,True,True,False,False,99.9,7251.7,False,True,False,False,True,False,False,False
